Commodity,Classification,Market,Wholesale,Retail,Supply Volume,County,Date,temperature_mean_c,rain_sum_mm,year,month,day_of_year,week,season,price_lag_7d,price_lag_14d,price_lag_30d,rain_7d_rolling,rain_30d_rolling,temp_7d_rolling,price_change_7d,season_encoded,county_encoded,classification_encoded
Dry Maize,White Maize,Nginyang,77.78,208.33,3600,Baringo,17/07/2023,17.8,0,2023,7,198,29,dry_mid,70,72,70,1.2,33.4,17.9,7.78,1,0,1
Dry Maize,White Maize,Marigat,70,75,15000,Baringo,17/07/2023,17.8,0,2023,7,198,29,dry_mid,70,70,70,0,30.1,17.82857143,0,1,0,1
Dry Maize,White Maize,Nginyang,77.78,108,7000,Baringo,24/07/2023,18.3,0.1,2023,7,205,30,dry_mid,75,80,70,0.1,27.5,17.84285714,2.78,1,0,1
Dry Maize,White Maize,Marigat,70,75,15000,Baringo,24/07/2023,18.3,0.1,2023,7,205,30,dry_mid,75,70,70,0.2,24.2,17.91428571,-5,1,0,1
Dry Maize,White Maize,Marigat,50,60,21000,Baringo,27/07/2023,17.7,3.1,2023,7,208,30,dry_mid,70,80,70,3.3,23.9,17.87142857,-20,1,0,1
Dry Maize,White Maize,Marigat,70,75,15000,Baringo,31/07/2023,19.6,1,2023,7,212,31,dry_mid,90,80,70,4.3,22.1,18.15714286,-20,1,0,1
Dry Maize,White Maize,Nginyang,66.67,166.67,1036,Baringo,28/08/2023,18.9,0.2,2023,8,240,35,dry_mid,70,72.22,70,4.5,20,18.34285714,-3.33,1,0,1
Dry Maize,White Maize,Nginyang,57.78,80,50000,Baringo,04/09/2023,19.7,0,2023,9,247,36,dry_mid,77.78,70,70,4.5,12.6,18.61428571,-20,1,0,1
Dry Maize,White Maize,Nginyang,57.78,80,10000,Baringo,18/09/2023,18.8,1.9,2023,9,261,38,dry_mid,70,70,70,6.4,14.5,18.75714286,-12.22,1,0,1
Dry Maize,Mixed-Traditional ,Mogogosiek Market,61.11,85,7000,Bomet,03/08/2023,17.8,0.1,2023,8,215,31,dry_mid,75.56,72.22,66.67,10.2,50.8,18.17142857,-14.45,1,1,0
Dry Maize,White Maize,Kapkwen,56.67,66.67,86400,Bomet,08/08/2023,17.5,1.5,2023,8,220,32,dry_mid,75.56,75.56,67.78,11.7,52.2,18.02857143,-18.89,1,1,1
Dry Maize,White Maize,Kapkwen,50,62.5,84600,Bomet,15/08/2023,18.7,0,2023,8,227,33,dry_mid,66.67,73.33,67.78,11.7,51.2,18.15714286,-16.67,1,1,1
Dry Maize,White Maize,Kapkwen,53.33,62.5,108000,Bomet,29/08/2023,18.8,0,2023,8,241,35,dry_mid,65.56,75.56,67.78,11.7,49.8,18.3,-12.23,1,1,1
Dry Maize,White Maize,Kapkwen,51.11,75,43200,Bomet,05/09/2023,19.5,0.1,2023,9,248,36,dry_mid,64.44,63.33,66.67,10.7,49.9,18.41428571,-13.33,1,1,1
